Date,Price
10/4/1993,1.656263
10/11/1993,1.58276
10/18/1993,1.575409
10/25/1993,1.570509
11/1/1993,1.543558
11/8/1993,1.604811
11/15/1993,1.570509
11/22/1993,1.548458
11/29/1993,1.680764
12/6/1993,1.604811
12/13/1993,1.577859
12/20/1993,1.58521
12/27/1993,1.580309
1/3/1994,1.670962
1/10/1994,1.678313
1/17/1994,1.690564
1/24/1994,1.663613
1/31/1994,1.59256
2/7/1994,1.543558
2/14/1994,1.568059
2/21/1994,1.58766
2/28/1994,1.58766
3/7/1994,1.60236
3/14/1994,1.661163
3/21/1994,1.715064
3/28/1994,1.661163
4/4/1994,1.705264
4/11/1994,1.663613
4/18/1994,1.798368
4/25/1994,1.813068
5/2/1994,1.813068
5/9/1994,1.891472
5/16/1994,1.915972
5/23/1994,2.053177
5/30/1994,2.072779
6/6/1994,2.060526
6/13/1994,2.077679
6/20/1994,1.940473
6/27/1994,1.969874
7/4/1994,1.940473
7/11/1994,1.906172
7/18/1994,1.982125
7/25/1994,2.018875
8/1/1994,2.058078
8/8/1994,2.165882
8/15/1994,2.151181
8/22/1994,2.229584
8/29/1994,2.195282
9/5/1994,2.229584
9/12/1994,2.229584
9/19/1994,2.195282
9/26/1994,2.200183
10/3/1994,2.13158
10/10/1994,2.192833
10/17/1994,2.327589
10/24/1994,2.435392
10/31/1994,2.410891
11/7/1994,2.440292
11/14/1994,2.513794
11/21/1994,2.440292
11/28/1994,2.479494
12/5/1994,2.474594
12/12/1994,2.484393
12/19/1994,2.38639
12/26/1994,2.396191
1/2/1995,2.37659
1/9/1995,2.459893
1/16/1995,2.415791
1/23/1995,2.347189
1/30/1995,2.356989
2/6/1995,2.430491
2/13/1995,2.36679
2/20/1995,2.40109
2/27/1995,2.494195
3/6/1995,2.68775
3/13/1995,2.741655
3/20/1995,2.896009
3/27/1995,2.788205
4/3/1995,2.729403
4/10/1995,2.842107
4/17/1995,2.940111
4/24/1995,3.20472
5/1/1995,3.136117
5/8/1995,3.16552
5/15/1995,3.346825
5/22/1995,3.430129
5/29/1995,3.258622
6/5/1995,3.327226
6/12/1995,3.410528
6/19/1995,3.572234
6/26/1995,3.542833
7/3/1995,3.74864
7/10/1995,4.062254
7/17/1995,3.606535
7/24/1995,3.631037
7/31/1995,3.680038
8/7/1995,3.782944
8/14/1995,3.807443
8/21/1995,3.699639
8/28/1995,3.518332
9/4/1995,3.743741
9/11/1995,3.662887
9/18/1995,3.518332
9/25/1995,3.547733
10/2/1995,3.366426
10/9/1995,3.381126
10/16/1995,3.743741
10/23/1995,3.920146
10/30/1995,3.900546
11/6/1995,3.797644
11/13/1995,3.425228
11/20/1995,3.449729
11/27/1995,3.381126
12/4/1995,3.704539
12/11/1995,3.464431
12/18/1995,3.547733
12/25/1995,3.439929
1/1/1996,3.386027
1/8/1996,3.361527
1/15/1996,3.601636
1/22/1996,3.547733
1/29/1996,3.645736
2/5/1996,3.925046
2/12/1996,3.836845
2/19/1996,4.057352
2/26/1996,3.743741
3/4/1996,3.729039
3/11/1996,4.013252
3/18/1996,3.96425
3/25/1996,4.042652
4/1/1996,4.091656
4/8/1996,3.96425
4/15/1996,4.302362
4/22/1996,4.449369
4/29/1996,4.346465
5/6/1996,4.50327
5/13/1996,4.586573
5/20/1996,4.645375
5/27/1996,4.655177
6/3/1996,4.75318
6/10/1996,4.821782
6/17/1996,4.856082
6/24/1996,4.709078
7/1/1996,4.640476
7/8/1996,4.405266
7/15/1996,4.742766
7/22/1996,4.669878
7/29/1996,4.836483
8/5/1996,4.880584
8/12/1996,4.870784
8/19/1996,4.831581
8/26/1996,4.802181
9/2/1996,4.802181
9/9/1996,5.135392
9/16/1996,5.414703
9/23/1996,5.267699
9/30/1996,5.346102
10/7/1996,5.375502
10/14/1996,5.2824
10/21/1996,5.348553
10/28/1996,5.385302
11/4/1996,5.62541
11/11/1996,5.841022
11/18/1996,5.89982
11/25/1996,6.149731
12/2/1996,5.992926
12/9/1996,6.272235
12/16/1996,6.556445
12/23/1996,6.605448
12/30/1996,6.634852
1/6/1997,6.605448
1/13/1997,6.830857
1/20/1997,7.521782
1/27/1997,7.997102
2/3/1997,7.869698
2/10/1997,7.67369
2/17/1997,7.448281
2/24/1997,7.644289
3/3/1997,7.585481
3/10/1997,7.761893
3/17/1997,7.369874
3/24/1997,7.350276
3/31/1997,7.384578
4/7/1997,7.448281
4/14/1997,8.43812
4/21/1997,8.908535
4/28/1997,9.467158
5/5/1997,9.153546
5/12/1997,9.050643
5/19/1997,9.633762
5/26/1997,9.721963
6/2/1997,9.726869
6/9/1997,10.162982
6/16/1997,10.182581
6/23/1997,9.996379
6/30/1997,10.158079
7/7/1997,10.172781
7/14/1997,11.015616
7/21/1997,10.858809
7/28/1997,11.025414
8/4/1997,10.976416
