location,princ,irate,cscore,result
suburban,358,7,728,default
suburban,637,7.25,675,default
suburban,303,7.25,645,non-default
suburban,397,7.25,609,non-default
suburban,420,7.75,669,default
suburban,574,7.25,715,default
suburban,744,6.75,716,non-default
suburban,390,7.25,681,non-default
urban,491,7.5,518,default
suburban,451,7.5,641,default
suburban,494,7.25,753,non-default
urban,406,7,658,default
suburban,207,7.25,703,non-default
suburban,188,8,619,default
suburban,199,8,626,default
suburban,893,7.25,619,default
suburban,325,7.5,678,default
suburban,565,7,694,default
rural,516,7.5,598,non-default
rural,690,7,627,non-default
urban,446,7,643,default
suburban,255,6.75,610,default
suburban,642,7.5,732,default
rural,177,7.25,619,non-default
suburban,350,7,599,non-default
suburban,779,7.25,720,default
suburban,293,7,799,non-default
suburban,214,7,561,default
urban,101,6.5,518,default
urban,473,7.25,608,default
suburban,745,6.75,673,non-default
suburban,640,7,710,non-default
suburban,709,7.5,577,default
rural,1168,7.5,648,default
suburban,403,7.5,688,default
suburban,467,7.25,659,default
urban,314,7.5,457,default
rural,659,6.75,629,non-default
rural,767,6.5,665,non-default
urban,512,7,702,default
urban,580,6.75,816,non-default
urban,238,7,667,default
suburban,231,7,707,default
suburban,588,7,758,default
suburban,649,7.25,722,default
suburban,712,6.5,733,non-default
suburban,877,7.25,743,non-default
urban,329,7,735,default
suburban,329,6.5,786,non-default
rural,289,7.75,581,default
urban,495,8,447,default
suburban,1024,7.25,714,default
rural,1407,7.5,703,default
rural,545,7,638,non-default
suburban,645,7,658,default
urban,440,7,673,default
suburban,872,7.25,711,default
suburban,885,7.25,690,default
suburban,703,6.75,709,non-default
suburban,547,7.25,704,default
urban,559,7,691,default
suburban,432,7.25,683,default
urban,39,8.25,712,default
rural,533,7.25,780,non-default
urban,602,7.5,580,default
suburban,633,7.25,660,default
suburban,355,7.5,669,default
suburban,424,7.75,665,non-default
suburban,580,7.25,668,default
suburban,458,7.25,696,default
suburban,820,6.5,708,non-default
suburban,559,7,693,non-default
rural,440,7.25,616,non-default
urban,260,7.25,623,default
suburban,580,7,745,default
urban,390,7.75,570,default
suburban,413,7.25,677,non-default
suburban,268,8,752,default
suburban,318,7.75,569,default
urban,504,7.25,663,non-default
suburban,763,7.25,693,default
urban,420,7.5,536,default
suburban,371,7,702,non-default
suburban,757,7.25,728,non-default
suburban,392,7.25,722,default
suburban,734,7.25,670,default
suburban,315,7,746,default
suburban,450,7.5,709,non-default
rural,1142,7.5,686,default
urban,640,7.5,534,default
suburban,729,7.25,655,default
suburban,724,7,681,non-default
suburban,823,7.5,656,default
suburban,790,7.25,713,default
urban,692,7.5,710,non-default
suburban,518,7.25,681,default
suburban,483,7.25,722,default
urban,436,7,702,default
urban,408,7,626,default
suburban,713,7.5,629,non-default
urban,78,6.5,439,default
suburban,658,7,689,non-default
suburban,875,7.75,548,default
suburban,638,7.25,722,default
suburban,280,7,643,non-default
urban,558,7.25,642,default
rural,1027,7.25,698,default
urban,555,7.5,569,non-default
urban,486,7.25,660,default
suburban,680,7.25,677,non-default
suburban,668,7,691,default
suburban,554,7.25,649,non-default
suburban,589,7.25,691,default
rural,771,7.25,743,default
urban,575,7.25,678,default
suburban,802,7.75,592,default
suburban,731,7.25,693,non-default
suburban,634,7.75,691,non-default
urban,607,7.75,469,default
suburban,781,7.25,640,default
suburban,828,7.5,694,non-default
urban,499,6.75,785,non-default
suburban,708,7,731,default
rural,179,7.25,586,default
suburban,341,7.5,639,non-default
rural,821,7.25,767,default
urban,493,7,669,default
suburban,534,7.25,675,default
urban,446,7,729,default
urban,389,7.25,523,default
rural,685,6.75,666,non-default
suburban,393,7.25,701,non-default
suburban,276,7.25,590,non-default
rural,1117,7.25,685,default
rural,536,7,651,non-default
urban,338,7.25,494,default
suburban,606,7.25,703,default
urban,313,7.25,456,default
urban,418,7,691,default
rural,1100,7.5,700,default
suburban,750,7.25,653,non-default
rural,742,7,655,default
suburban,259,7.25,575,default
rural,695,6.5,642,non-default
urban,270,8,473,default
rural,739,7,631,non-default
suburban,539,7.25,688,default
suburban,894,7.25,719,non-default
suburban,719,7,729,non-default
urban,555,7,687,default
suburban,287,6.5,617,non-default
suburban,342,7.5,601,default
suburban,593,7.25,665,non-default
urban,510,7.25,712,default
rural,373,7.25,636,non-default
suburban,477,8.25,502,default
suburban,444,7.25,688,non-default
rural,471,7.75,754,default
suburban,733,7.25,685,default
suburban,451,7.25,664,non-default
rural,1012,7.25,682,default
suburban,748,7.25,672,default
rural,528,7.5,729,default
suburban,920,7.25,682,default
suburban,559,7.75,830,non-default
suburban,82,8,645,default
rural,193,7.5,614,non-default
rural,747,7.25,729,default
suburban,370,7.5,476,default
suburban,369,7.25,715,default
suburban,282,7.75,614,non-default
suburban,353,7.25,663,non-default
rural,339,7.75,578,default
suburban,588,7.25,679,default
suburban,779,7.5,609,default
suburban,933,7.25,721,default
suburban,455,7.75,630,default
rural,665,6.5,595,non-default
suburban,674,7.25,717,default
suburban,446,7.25,653,default
urban,412,7.5,477,default
urban,385,8.5,559,default
suburban,893,7.75,708,non-default
suburban,793,7.25,744,default
rural,759,6.75,730,default
suburban,860,7.25,645,default
suburban,444,7.75,610,non-default
suburban,679,7.5,570,default
urban,364,7,705,default
urban,158,8.25,667,default
suburban,274,7.25,538,non-default
urban,613,7,658,default
suburban,301,7,635,non-default
suburban,417,7.75,640,default
suburban,559,7.25,685,default
suburban,326,7.5,617,non-default
